xmlstatsTeamId,Abbr,Wins_20171017,Losses_20171017,Wins_20171018,Losses_20171018,Wins_20171019,Losses_20171019,Wins_20171020,Losses_20171020,Wins_20171021,Losses_20171021,Wins_20171022,Losses_20171022,Wins_20171023,Losses_20171023,Wins_20171024,Losses_20171024,Wins_20171025,Losses_20171025,Wins_20171026,Losses_20171026,Wins_20171027,Losses_20171027,Wins_20171028,Losses_20171028,Wins_20171029,Losses_20171029,Wins_20171030,Losses_20171030,Wins_20171031,Losses_20171031,Wins_20171101,Losses_20171101,Wins_20171102,Losses_20171102,Wins_20171103,Losses_20171103,Wins_20171104,Losses_20171104,Wins_20171105,Losses_20171105,Wins_20171106,Losses_20171106,Wins_20171107,Losses_20171107,Wins_20171108,Losses_20171108,Wins_20171109,Losses_20171109,Wins_20171110,Losses_20171110,Wins_20171111,Losses_20171111,Wins_20171112,Losses_20171112,Wins_20171113,Losses_20171113,Wins_20171114,Losses_20171114,Wins_20171115,Losses_20171115,Wins_20171116,Losses_20171116,Wins_20171117,Losses_20171117,Wins_20171118,Losses_20171118,Wins_20171119,Losses_20171119,Wins_20171120,Losses_20171120,Wins_20171121,Losses_20171121,Wins_20171122,Losses_20171122,Wins_20171123,Losses_20171123,Wins_20171124,Losses_20171124,Wins_20171125,Losses_20171125,Wins_20171126,Losses_20171126,Wins_20171127,Losses_20171127,Wins_20171128,Losses_20171128,Wins_20171129,Losses_20171129,Wins_20171130,Losses_20171130,Wins_20171201,Losses_20171201,Wins_20171202,Losses_20171202,Wins_20171203,Losses_20171203,Wins_20171204,Losses_20171204,Wins_20171205,Losses_20171205,Wins_20171206,Losses_20171206,Wins_20171207,Losses_20171207,Wins_20171208,Losses_20171208,Wins_20171209,Losses_20171209,Wins_20171210,Losses_20171210,Wins_20171211,Losses_20171211,Wins_20171212,Losses_20171212,Wins_20171213,Losses_20171213,Wins_20171214,Losses_20171214,Wins_20171215,Losses_20171215,Wins_20171216,Losses_20171216,Wins_20171217,Losses_20171217,Wins_20171218,Losses_20171218,Wins_20171219,Losses_20171219,Wins_20171220,Losses_20171220,Wins_20171221,Losses_20171221,Wins_20171222,Losses_20171222,Wins_20171223,Losses_20171223,Wins_20171224,Losses_20171224,Wins_20171225,Losses_20171225,Wins_20171226,Losses_20171226,Wins_20171227,Losses_20171227,Wins_20171228,Losses_20171228,Wins_20171229,Losses_20171229,Wins_20171230,Losses_20171230,Wins_20171231,Losses_20171231,Wins_20180101,Losses_20180101,Wins_20180102,Losses_20180102,Wins_20180103,Losses_20180103,Wins_20180104,Losses_20180104,Wins_20180105,Losses_20180105,Wins_20180106,Losses_20180106,Wins_20180107,Losses_20180107,Wins_20180108,Losses_20180108,Wins_20180109,Losses_20180109,Wins_20180110,Losses_20180110,Wins_20180111,Losses_20180111,Wins_20180112,Losses_20180112,Wins_20180113,Losses_20180113,Wins_20180114,Losses_20180114,Wins_20180115,Losses_20180115,Wins_20180116,Losses_20180116,Wins_20180117,Losses_20180117,Wins_20180118,Losses_20180118,Wins_20180119,Losses_20180119,Wins_20180120,Losses_20180120,Wins_20180121,Losses_20180121,Wins_20180122,Losses_20180122,Wins_20180123,Losses_20180123,Wins_20180124,Losses_20180124,Wins_20180125,Losses_20180125,Wins_20180126,Losses_20180126,Wins_20180127,Losses_20180127,Wins_20180128,Losses_20180128,Wins_20180129,Losses_20180129,Wins_20180130,Losses_20180130,Wins_20180131,Losses_20180131,Wins_20180201,Losses_20180201,Wins_20180202,Losses_20180202,Wins_20180203,Losses_20180203,Wins_20180204,Losses_20180204,Wins_20180205,Losses_20180205,Wins_20180206,Losses_20180206,Wins_20180207,Losses_20180207,Wins_20180208,Losses_20180208,Wins_20180209,Losses_20180209,Wins_20180210,Losses_20180210,Wins_20180211,Losses_20180211,Wins_20180212,Losses_20180212,Wins_20180213,Losses_20180213,Wins_20180214,Losses_20180214,Wins_20180215,Losses_20180215,Wins_20180216,Losses_20180216,Wins_20180217,Losses_20180217,Wins_20180218,Losses_20180218,Wins_20180219,Losses_20180219,Wins_20180220,Losses_20180220,Wins_20180221,Losses_20180221,Wins_20180222,Losses_20180222,Wins_20180223,Losses_20180223,Wins_20180224,Losses_20180224,Wins_20180225,Losses_20180225,Wins_20180226,Losses_20180226,Wins_20180227,Losses_20180227,Wins_20180228,Losses_20180228,Wins_20180301,Losses_20180301,Wins_20180302,Losses_20180302,Wins_20180303,Losses_20180303,Wins_20180304,Losses_20180304,Wins_20180305,Losses_20180305,Wins_20180306,Losses_20180306,Wins_20180307,Losses_20180307,Wins_20180308,Losses_20180308,Wins_20180309,Losses_20180309,Wins_20180310,Losses_20180310,Wins_20180311,Losses_20180311,Wins_20180312,Losses_20180312,Wins_20180313,Losses_20180313,Wins_20180314,Losses_20180314,Wins_20180315,Losses_20180315,Wins_20180316,Losses_20180316,Wins_20180317,Losses_20180317,Wins_20180318,Losses_20180318,Wins_20180319,Losses_20180319,Wins_20180320,Losses_20180320,Wins_20180321,Losses_20180321,Wins_20180322,Losses_20180322,Wins_20180323,Losses_20180323,Wins_20180324,Losses_20180324,Wins_20180325,Losses_20180325,Wins_20180326,Losses_20180326,Wins_20180327,Losses_20180327,Wins_20180328,Losses_20180328,Wins_20180329,Losses_20180329,Wins_20180330,Losses_20180330,Wins_20180331,Losses_20180331,Wins_20180401,Losses_20180401,Wins_20180402,Losses_20180402,Wins_20180403,Losses_20180403,Wins_20180404,Losses_20180404,Wins_20180405,Losses_20180405,Wins_20180406,Losses_20180406,Wins_20180407,Losses_20180407,Wins_20180408,Losses_20180408,Wins_20180409,Losses_20180409,Wins_20180410,Losses_20180410,Wins_20180411,Losses_20180411
houston-rockets,HOU,1,0,2,0,2,0,2,0,3,0,3,0,3,1,3,1,4,1,4,1,5,1,5,2,5,2,5,3,5,3,6,3,6,3,7,3,7,3,8,3,8,3,8,3,8,3,9,3,9,3,10,3,11,3,11,3,11,4,11,4,12,4,12,4,13,4,13,4,13,4,13,4,14,4,14,4,14,4,15,4,15,4,16,4,16,4,17,4,17,4,17,4,17,4,18,4,18,4,18,4,18,4,19,4,19,4,20,4,20,4,21,4,21,4,22,4,22,4,23,4,24,4,24,4,25,4,25,4,25,5,25,5,25,6,25,6,25,6,25,7,25,7,25,7,25,8,25,9,25,9,26,9,26,9,26,9,27,9,27,10,27,10,27,11,27,11,28,11,28,11,29,11,29,11,30,11,30,11,30,11,30,12,30,12,30,12,31,12,31,12,32,12,32,12,33,12,33,12,34,12,34,12,34,13,34,13,35,13,35,13,36,13,36,13,37,13,37,13,38,13,38,13,38,13,39,13,40,13,40,13,41,13,41,13,42,13,42,13,43,13,44,13,44,13,44,13,44,13,44,13,44,13,44,13,44,13,44,13,45,13,45,13,46,13,47,13,47,13,48,13,48,13,48,13,49,13,49,13,49,13,50,13,51,13,51,13,51,14,51,14,52,14,53,14,53,14,53,14,54,14,54,14,55,14,56,14,56,14,57,14,57,14,58,14,58,14,59,14,60,14,60,14,61,14,61,14,61,14,62,14,62,14,62,15,62,15,63,15,63,15,64,15,64,15,64,16,64,16,64,16,65,16,65,17
indiana-pacers,IND,0,0,1,0,1,0,1,1,1,2,1,2,1,2,2,2,2,3,2,3,2,3,2,3,3,3,3,3,4,3,5,3,5,3,5,4,5,4,5,5,5,5,5,6,5,7,5,7,6,7,6,7,6,8,6,8,6,8,7,8,7,8,8,8,8,8,9,8,10,8,10,8,10,8,10,8,11,8,11,9,11,9,12,9,12,9,12,10,12,10,12,11,12,11,12,11,13,11,13,11,14,11,14,11,15,11,15,11,16,11,16,11,16,11,16,12,16,12,16,13,16,13,17,13,17,14,17,14,18,14,18,14,18,14,19,14,19,14,19,14,19,15,19,16,19,16,19,17,19,17,19,18,19,18,19,18,19,19,19,19,19,19,20,19,20,19,21,19,21,19,21,20,21,20,22,20,22,20,23,20,24,20,24,20,24,20,24,21,24,22,24,22,25,22,25,22,25,22,26,22,26,22,26,23,27,23,27,23,28,23,28,23,29,23,29,23,29,24,30,24,30,24,30,25,30,25,30,25,30,25,31,25,31,25,32,25,32,25,32,25,33,25,33,25,33,25,33,25,33,25,33,25,33,25,33,25,33,25,34,25,34,25,34,25,34,26,34,26,34,27,34,27,35,27,35,27,36,27,37,27,37,27,37,28,37,28,38,28,38,28,39,28,39,28,40,28,40,28,40,29,40,29,40,30,40,30,41,30,41,30,41,31,41,31,42,31,42,31,43,31,43,31,44,31,44,31,45,31,45,31,45,31,46,31,46,31,46,32,46,32,47,32,47,33,47,33,48,33,48,33,48,34,48,34
los-angeles-clippers,LAC,0,0,0,0,1,0,1,0,2,0,2,0,2,0,3,0,3,0,4,0,4,0,4,1,4,1,4,2,4,2,5,2,5,2,5,2,5,3,5,4,5,4,5,5,5,5,5,5,5,6,5,7,5,7,5,8,5,8,5,8,5,8,5,9,5,10,5,10,5,11,5,11,6,11,6,11,6,11,7,11,7,11,8,11,8,11,8,11,8,12,8,12,8,13,8,14,8,14,8,14,8,15,8,15,8,15,9,15,9,15,10,15,10,15,11,15,11,15,11,16,11,17,11,17,11,18,11,18,12,18,12,18,13,18,13,19,13,19,13,19,14,19,14,19,14,19,15,19,15,19,16,19,16,19,17,19,17,19,17,20,17,20,17,21,17,21,18,21,18,21,19,21,20,21,20,21,21,21,21,21,22,21,22,21,23,21,23,21,23,21,23,22,23,22,23,23,23,23,23,24,23,24,24,24,24,24,25,24,25,24,25,25,25,25,25,25,25,25,26,25,26,25,27,25,27,25,27,25,27,25,28,25,28,26,28,26,29,26,29,26,30,26,30,26,30,26,30,26,30,26,30,26,30,26,30,26,30,27,31,27,31,27,31,27,31,27,32,27,32,28,32,28,33,28,33,28,34,28,34,28,34,29,34,29,34,29,35,29,36,29,36,29,36,29,37,29,37,29,37,30,37,31,37,31,37,32,37,32,37,33,38,33,38,33,38,34,38,34,39,34,39,34,40,34,41,34,41,34,41,35,41,35,41,36,41,36,42,36,42,36,42,37,42,37,42,38,42,38,42,39,42,39,42,40
los-angeles-lakers,LAK,0,0,0,0,0,1,1,1,1,1,1,2,1,2,1,2,2,2,2,2,2,3,2,4,2,4,2,4,3,4,3,4,3,5,4,5,4,5,5,5,5,5,5,5,5,6,5,7,5,7,5,8,5,8,6,8,6,8,6,9,6,9,6,10,6,10,7,10,7,10,8,10,8,11,8,11,8,11,8,11,8,11,8,12,8,12,8,13,8,13,8,13,8,14,8,15,8,15,8,15,8,15,9,15,9,15,10,15,10,15,10,15,10,16,10,16,10,17,10,17,10,17,10,17,10,18,10,18,11,18,11,18,11,19,11,20,11,20,11,21,11,21,11,22,11,22,11,23,11,23,11,24,11,25,11,25,11,26,11,26,11,27,11,27,12,27,12,27,13,27,13,27,14,27,14,27,15,27,15,27,15,28,15,28,15,29,15,29,16,29,16,29,17,29,17,29,18,29,18,29,18,29,19,29,19,29,19,30,19,30,19,30,19,31,19,31,20,31,20,31,21,31,21,31,22,31,22,31,23,31,23,31,23,32,23,32,23,32,23,32,23,33,23,34,23,34,23,34,23,34,23,34,23,34,23,34,23,34,24,34,25,34,25,34,26,34,26,34,26,34,27,34,27,34,28,34,28,34,28,35,28,35,29,35,29,35,29,36,29,36,30,36,30,36,31,36,31,37,31,37,31,38,31,38,31,38,31,39,31,39,31,39,31,40,31,40,32,40,32,40,32,41,32,41,33,41,33,41,33,42,33,42,33,43,33,43,33,44,34,44,34,44,34,45,34,45,34,46,34,46,34,47,35,47
memphis-grizzlies,MEM,0,0,1,0,1,0,1,0,2,0,2,0,3,0,3,0,3,1,4,1,4,1,5,1,5,1,5,2,5,2,5,3,5,3,5,3,6,3,6,4,6,4,7,4,7,4,7,4,7,4,7,5,7,5,7,6,7,6,7,7,7,7,7,7,7,8,7,8,7,9,7,9,7,10,7,10,7,11,7,11,7,12,7,12,7,12,7,13,7,13,7,14,7,15,7,15,8,15,8,15,8,16,8,16,8,17,8,18,8,18,8,19,8,19,8,20,8,20,9,20,9,21,9,21,9,21,9,21,9,22,9,23,9,23,10,23,10,23,10,23,10,24,11,24,11,24,11,24,11,25,12,25,12,25,12,26,12,26,12,26,12,27,12,27,12,27,12,27,12,27,13,27,13,27,13,28,13,28,13,28,14,28,14,28,15,28,15,28,16,28,16,29,16,29,17,29,17,29,17,30,17,30,17,31,17,31,17,31,18,31,18,31,18,32,18,33,18,33,18,33,18,34,18,34,18,35,18,36,18,36,18,36,18,36,18,37,18,37,18,37,18,38,18,38,18,38,18,38,18,38,18,38,18,38,18,38,18,38,18,39,18,40,18,40,18,41,18,41,18,42,18,42,18,43,18,44,18,44,18,45,18,45,18,46,18,46,18,47,18,48,18,48,18,49,18,49,18,49,18,50,18,50,19,50,19,50,19,51,19,51,19,52,19,53,19,53,19,54,19,54,20,54,20,54,21,54,21,54,21,55,21,55,21,56,21,56,21,56,21,57,21,57,21,58,21,58,22,58,22,59,22,59,22,60
miami-heat,MIA,0,0,0,1,0,1,0,1,1,1,1,1,2,1,2,1,2,2,2,2,2,2,2,3,2,3,2,4,2,4,3,4,3,4,3,5,3,5,4,5,4,6,4,6,5,6,5,6,6,6,6,6,6,7,6,7,6,7,6,8,6,8,7,8,7,8,7,9,7,9,7,9,8,9,8,9,9,9,9,9,10,9,10,9,10,10,10,11,10,11,11,11,11,11,11,12,11,12,11,12,11,13,11,13,11,13,12,13,12,13,13,13,13,13,13,14,13,14,14,14,15,14,15,14,15,15,15,15,16,15,16,15,17,15,17,16,17,16,17,16,18,16,18,16,18,16,18,17,19,17,19,17,19,17,19,17,20,17,20,17,21,17,21,17,22,17,22,17,23,17,24,17,24,17,24,17,24,17,25,17,25,18,25,18,26,18,26,18,26,19,27,19,27,19,27,20,27,20,27,20,27,21,27,21,28,21,28,21,29,21,29,21,29,22,29,22,29,23,29,24,29,24,29,25,29,25,29,26,29,26,30,26,30,26,30,26,30,26,30,27,30,28,30,28,30,28,30,28,30,28,30,28,30,28,30,28,30,28,30,29,31,29,31,29,31,29,32,29,32,29,32,30,32,30,33,30,33,30,34,30,34,31,34,31,35,31,35,31,36,31,36,31,36,32,36,32,36,33,36,33,37,33,37,33,37,33,38,33,38,33,39,33,39,33,39,34,39,34,39,35,39,35,40,35,40,35,41,35,41,35,41,36,41,36,41,36,42,36,43,36,43,36,43,37,43,37,43,37,43,38,43,38,44,38
milwaukee-bucks,MIL,0,0,1,0,1,0,1,1,2,1,2,1,3,1,3,1,3,1,3,2,3,2,3,2,4,2,4,2,4,3,4,4,4,4,4,5,4,5,4,5,4,5,4,6,4,6,4,6,5,6,6,6,6,6,7,6,7,6,8,6,8,6,8,6,8,7,8,7,8,8,8,8,9,8,9,8,9,8,9,9,9,9,9,9,10,9,10,9,11,9,11,9,12,9,12,9,12,10,12,10,13,10,13,10,14,10,15,10,15,10,15,10,15,10,15,11,15,11,15,12,15,13,15,13,15,13,16,13,16,13,16,13,17,13,17,14,17,14,17,14,17,15,17,15,18,15,19,15,19,15,19,15,19,16,19,16,20,16,20,16,20,17,21,17,21,17,21,18,21,18,22,18,22,18,22,19,22,19,22,20,23,20,23,20,23,21,23,21,23,21,23,22,23,22,24,22,24,22,24,22,24,22,25,22,25,22,26,22,27,22,27,22,27,22,27,23,28,23,28,23,29,23,29,23,30,23,30,23,30,23,30,24,31,24,31,24,31,24,32,24,32,24,32,25,32,25,32,25,32,25,32,25,32,25,32,25,32,25,33,25,33,25,33,26,33,26,33,27,33,28,33,28,33,29,33,29,34,29,34,30,34,30,34,31,34,31,35,31,35,31,35,31,36,31,36,31,36,32,36,32,36,32,37,32,37,32,37,33,37,33,37,34,37,34,38,34,38,34,39,34,39,34,39,35,39,35,40,35,41,35,41,35,41,36,41,36,42,36,42,36,42,37,42,37,43,37,43,37,44,37,44,37,44,38
minnesota-timberwolves,MIN,0,0,0,1,0,1,1,1,1,1,2,1,2,1,2,2,2,3,2,3,3,3,3,3,3,3,4,3,4,3,5,3,5,3,5,3,6,3,7,3,7,3,7,3,7,4,7,4,7,4,7,5,7,5,8,5,8,5,9,5,9,5,10,5,10,5,10,6,10,7,10,7,11,7,11,7,11,8,11,8,12,8,12,8,12,9,13,9,13,9,13,10,13,10,14,10,14,11,14,11,15,11,15,11,15,11,15,11,16,11,16,11,16,12,16,12,17,12,17,12,17,13,17,13,18,13,18,13,19,13,19,13,19,13,20,13,20,13,21,13,21,13,22,13,22,14,22,14,22,14,23,14,24,14,24,14,24,15,24,15,24,16,25,16,25,16,26,16,26,16,27,16,27,16,28,16,28,16,29,16,29,16,29,17,29,17,29,18,29,18,30,18,30,18,31,18,31,18,31,19,31,20,31,20,32,20,32,20,32,21,32,22,32,22,33,22,33,22,34,22,34,22,34,22,34,22,34,23,34,23,34,24,34,24,35,24,35,24,35,25,35,25,36,25,36,25,36,25,36,25,36,25,36,25,36,25,36,25,36,26,37,26,37,26,38,26,38,26,38,26,38,27,38,28,38,28,38,28,38,28,38,28,38,28,38,29,38,29,38,29,39,29,39,29,40,29,40,29,40,29,40,29,40,30,40,31,40,31,41,31,41,31,41,31,42,31,42,32,42,32,42,33,42,33,43,33,43,33,44,33,44,33,44,34,44,34,44,34,44,34,44,35,45,35,45,35,45,35,46,35,46,35,47,35
new-orleans-pelicans,NOP,0,0,0,1,0,1,0,2,0,2,1,2,1,2,1,3,1,3,2,3,2,3,3,3,3,3,3,4,3,4,3,5,3,5,4,5,5,5,5,5,5,5,6,5,6,5,6,6,6,6,7,6,7,6,8,6,8,6,8,7,8,7,8,8,8,8,8,8,9,8,9,8,10,8,10,8,11,8,11,9,11,9,11,9,11,9,11,10,11,10,11,11,12,11,12,11,12,12,12,12,13,12,13,12,13,13,13,13,14,13,14,14,14,14,15,14,15,14,15,15,15,15,15,15,15,15,15,16,15,16,15,16,16,16,17,16,17,16,17,16,17,16,18,16,18,16,18,17,18,18,18,18,18,18,18,18,19,18,19,18,19,18,19,19,19,19,20,19,20,19,20,20,20,20,21,20,21,20,22,20,22,20,23,20,23,21,23,21,23,21,24,21,24,21,25,21,25,21,26,21,26,21,27,21,27,21,27,22,27,22,27,23,27,23,27,23,28,23,28,24,28,24,28,25,28,25,28,25,28,25,28,26,29,26,29,26,30,26,30,26,31,26,31,26,31,26,31,26,31,26,31,26,31,26,31,26,31,26,32,26,32,26,33,26,34,26,34,26,35,26,35,26,35,26,35,26,36,26,36,26,37,26,38,26,38,26,38,27,38,27,38,28,38,28,39,28,39,28,39,29,39,29,39,30,40,30,40,30,41,30,42,30,43,30,43,30,43,31,43,31,43,31,43,32,43,32,43,32,43,33,43,33,43,34,43,34,43,34,44,34,44,34,45,34,46,34,46,34,47,34,47,34,48,34
new-york-knicks,NYK,0,0,0,0,0,1,0,1,0,2,0,2,0,2,0,3,0,3,0,3,1,3,1,3,2,3,3,3,3,3,3,4,3,4,4,4,4,4,5,4,5,4,6,4,6,5,6,5,6,5,7,5,7,5,7,6,7,6,8,6,8,6,8,7,8,7,8,7,9,7,9,7,10,7,10,7,10,8,10,9,10,9,10,10,10,10,11,10,11,10,11,10,11,10,11,11,11,12,11,12,12,12,12,12,12,12,12,13,13,13,13,13,14,13,14,13,15,13,15,13,16,13,16,13,16,14,16,14,16,14,17,14,17,15,17,15,17,15,17,16,17,16,17,17,17,18,17,18,18,18,18,18,18,18,18,19,18,20,18,20,18,21,18,21,19,21,19,21,19,21,19,22,19,22,19,23,19,23,19,24,20,24,20,24,20,25,20,25,21,25,21,25,21,26,21,26,21,27,21,27,21,28,22,28,22,28,22,28,22,28,23,28,23,29,23,29,23,30,23,30,23,31,23,31,23,32,23,32,23,33,23,33,23,33,23,34,23,35,23,35,23,36,23,36,23,36,23,36,23,36,23,36,23,36,23,36,24,36,24,36,24,37,24,37,24,38,24,38,24,38,24,38,24,39,24,39,24,40,24,40,24,41,24,41,24,41,24,42,24,42,24,43,24,43,24,44,24,44,24,45,24,45,25,45,25,45,26,45,26,45,26,46,26,46,26,47,26,47,27,47,27,48,27,48,27,49,27,49,27,49,27,50,27,50,27,50,27,51,27,51,27,51,28,51,28,52,28,52,28,53,28,53,29,53
oklahoma-city-thunder,OKC,0,0,0,0,1,0,1,0,1,1,1,2,1,2,1,2,2,2,2,2,2,3,3,3,3,3,3,3,4,3,4,3,4,3,4,4,4,4,4,5,4,5,4,6,4,6,4,7,5,7,5,7,6,7,6,7,6,7,7,7,7,7,7,8,7,8,7,8,7,9,7,9,8,9,8,9,8,10,8,11,8,11,8,11,8,11,8,12,8,12,9,12,9,12,10,12,10,12,11,12,11,12,11,13,11,13,12,13,12,13,12,14,12,14,13,14,13,14,14,14,14,15,14,15,15,15,15,15,16,15,16,15,17,15,18,15,18,15,19,15,19,15,20,15,20,15,20,16,20,16,20,17,20,17,20,17,21,17,22,17,22,17,22,17,22,18,22,18,22,19,22,20,22,20,22,20,23,20,23,20,24,20,24,20,25,20,25,20,25,20,26,20,26,20,26,20,27,20,27,20,28,20,28,20,29,20,30,20,30,20,30,21,30,21,30,22,30,23,30,23,30,24,30,24,31,24,31,24,31,25,31,25,31,25,32,25,32,25,32,26,33,26,33,26,33,26,33,26,33,26,33,26,33,26,33,26,34,26,34,26,34,27,34,27,35,27,35,27,36,27,36,27,37,27,37,28,37,28,37,28,37,29,37,29,38,29,38,29,39,29,39,29,40,29,41,29,41,29,41,29,42,29,42,29,43,29,43,29,43,30,43,30,43,30,44,30,44,30,44,31,44,31,44,31,44,31,44,32,44,33,44,33,45,33,45,33,45,34,45,34,45,34,45,34,46,34,46,34,47,34,47,34,48,34
orlando-magic,ORL,0,0,1,0,1,0,1,1,2,1,2,1,2,1,3,1,3,1,3,1,4,1,4,1,4,2,5,2,5,2,6,2,6,2,6,3,6,3,6,4,6,4,6,4,7,4,7,4,8,4,8,5,8,5,8,6,8,6,8,7,8,7,8,7,8,8,8,8,8,9,8,9,8,10,8,10,8,11,8,12,8,12,8,13,8,13,9,13,9,13,9,14,9,14,10,14,10,15,10,15,11,15,11,15,11,16,11,17,11,17,11,17,11,17,11,18,11,18,11,19,11,19,11,20,11,20,11,20,11,21,11,21,11,22,11,23,11,23,11,23,11,24,11,24,12,24,12,24,12,25,12,25,12,26,12,26,12,27,12,27,12,27,12,28,12,28,12,28,12,29,12,30,12,30,12,31,12,31,12,31,12,31,13,31,13,31,13,32,13,32,13,32,14,32,14,32,14,33,14,33,14,33,14,33,14,34,14,34,14,34,14,35,15,35,15,35,15,35,15,36,15,36,16,36,17,36,17,36,18,36,18,36,18,37,18,37,18,38,18,38,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,40,18,40,18,41,18,41,18,42,18,42,18,43,18,43,19,43,20,43,20,43,20,44,20,44,20,45,20,45,20,46,20,47,20,47,20,47,20,48,21,48,21,48,21,49,21,49,21,49,21,49,21,50,21,50,21,51,21,51,22,51,22,51,22,51,22,51,22,52,22,52,22,53,22,53,22,54,22,54,23,54,24,54,24,54,24,55,24,55,24,56,24,57,24,57,25,57
philadelphia-76ers,PHI,0,0,0,1,0,1,0,2,0,3,0,3,1,3,1,3,1,4,1,4,1,4,2,4,2,4,3,4,3,4,4,4,4,4,5,4,5,4,5,4,5,4,6,4,6,4,6,5,6,5,6,6,6,6,7,6,7,6,8,6,8,6,8,6,8,7,8,7,9,7,9,7,10,7,10,7,10,7,11,7,11,7,11,8,11,8,12,8,12,9,12,9,13,9,13,9,13,10,13,10,13,10,13,11,13,11,13,12,13,13,13,13,14,13,14,13,14,13,14,14,14,14,14,14,14,15,14,16,14,16,14,17,14,17,14,18,14,18,15,18,15,18,15,18,15,19,15,19,16,19,17,19,17,19,17,19,18,19,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,19,20,19,20,19,20,20,20,20,20,20,20,21,20,21,20,22,20,22,20,22,21,22,21,23,21,23,21,24,21,24,21,24,22,24,23,24,23,24,24,24,24,25,24,25,25,25,25,25,25,26,25,26,25,26,25,27,25,28,25,28,25,29,25,29,25,30,25,30,25,30,25,30,25,30,25,30,25,30,25,30,25,31,25,31,25,32,25,32,26,32,26,32,27,32,27,33,27,34,27,34,27,34,28,34,28,35,28,35,28,35,29,35,29,35,29,36,29,36,29,36,30,36,30,37,30,38,30,38,30,38,30,39,30,39,30,40,30,41,30,41,30,42,30,42,30,43,30,43,30,44,30,44,30,45,30,45,30,46,30,46,30,47,30,48,30,48,30,49,30,49,30,50,30,50,30,51,30,52,30
phoenix-suns,PHO,0,0,0,1,0,1,0,2,0,3,0,3,1,3,1,3,2,3,2,3,2,3,2,4,2,4,2,4,3,4,4,4,4,4,4,5,4,5,4,6,4,7,4,7,4,8,4,8,4,9,5,9,5,9,5,10,5,10,5,10,5,11,6,11,6,11,7,11,7,11,7,11,7,12,7,12,7,13,7,13,7,14,7,14,8,14,8,15,8,15,8,15,8,16,8,16,9,16,9,17,9,17,9,18,9,18,9,19,9,19,9,19,9,20,9,21,9,21,9,21,10,21,10,21,11,21,11,21,11,22,12,22,12,22,12,23,12,23,12,23,13,23,13,23,13,23,14,23,14,23,14,24,14,24,15,24,15,25,15,25,15,26,15,26,16,26,16,26,16,26,16,26,16,26,16,27,16,27,16,28,16,28,16,29,16,29,16,29,17,29,17,29,17,29,17,30,17,30,17,31,17,31,17,32,17,32,17,33,17,34,17,34,18,34,18,34,18,35,18,35,18,36,18,36,18,37,18,38,18,38,18,38,18,39,18,39,18,40,18,40,18,41,18,41,18,41,18,41,18,41,18,41,18,41,18,41,18,41,18,42,18,43,18,43,18,44,18,44,19,44,19,44,19,45,19,45,19,46,19,47,19,47,19,47,19,48,19,48,19,49,19,49,19,49,19,50,19,50,19,51,19,51,19,52,19,52,19,52,19,53,19,53,19,53,19,54,19,55,19,55,19,56,19,56,19,57,19,57,19,58,19,58,19,59,19,59,20,59,20,59,20,59,20,60,20,60,20,61,20,61,21,61,21,61
portland-trail-blazers,POR,0,0,1,0,1,0,2,0,2,1,2,1,2,1,3,1,3,1,3,2,3,2,4,2,4,2,4,3,4,3,4,4,5,4,5,4,5,4,6,4,6,4,6,5,6,5,6,5,6,6,6,6,6,6,7,6,7,6,8,6,8,6,8,7,9,7,9,7,10,7,10,7,10,8,10,8,11,8,12,8,12,8,13,8,13,8,13,8,13,9,13,9,13,10,13,10,13,10,13,11,13,11,13,11,13,11,13,12,13,12,13,13,13,13,14,13,14,13,15,13,16,13,16,13,16,14,16,14,16,15,16,15,16,16,17,16,17,16,17,16,17,16,17,16,18,16,18,16,18,17,18,17,19,17,19,18,19,18,19,18,20,18,20,18,21,18,21,18,22,18,22,19,22,19,22,20,22,20,22,21,22,21,23,21,23,21,24,21,24,21,25,21,25,21,25,22,25,22,26,22,26,22,27,22,27,22,27,22,27,22,28,22,29,22,29,22,29,23,29,23,29,24,29,25,29,25,29,25,30,25,31,25,31,25,31,26,31,26,31,26,32,26,32,26,32,26,32,26,32,26,32,26,32,26,32,26,32,26,33,26,34,26,34,26,34,26,35,26,35,26,36,26,36,26,37,26,37,26,38,26,39,26,39,26,39,26,40,26,40,26,40,26,41,26,41,26,41,26,42,26,42,26,43,26,44,26,44,26,44,27,44,27,44,27,44,28,44,28,45,28,45,28,46,28,46,29,46,29,47,29,47,29,48,29,48,29,48,30,48,30,48,31,48,31,48,32,48,32,48,33,48,33,49,33
