year,home_team,month,day,attend,day_of_week,opponent,temp,skies,day_night,cap,shirt,fireworks,bobblehead
2012,Texas Rangers,SEP,11,34765,Tuesday,Cleveland Indians,88,Clear,Night,NO,NO,NO,NO
2012,Texas Rangers,SEP,12,36001,Wednesday,Cleveland Indians,92,Clear,Night,NO,NO,NO,NO
2012,Texas Rangers,SEP,13,36102,Thursday,Cleveland Indians,83,Cloudy,Night,NO,NO,NO,NO
2012,Texas Rangers,SEP,14,45075,Friday,Seattle Mariners,66,Cloudy,Night,NO,NO,YES,NO
2012,Texas Rangers,SEP,15,47267,Saturday,Seattle Mariners,72,Cloudy,Night,NO,NO,NO,NO
2012,Texas Rangers,SEP,16,45928,Sunday,Seattle Mariners,68,Rainy,Day,NO,NO,NO,NO
2012,Texas Rangers,SEP,24,43044,Monday,Oakland Athletics,91,Cloudy,Night,NO,NO,NO,NO
2012,Texas Rangers,SEP,25,43874,Tuesday,Oakland Athletics,90,Clear,Night,NO,NO,NO,NO
2012,Texas Rangers,SEP,26,46689,Wednesday,Oakland Athletics,89,Clear,Night,NO,NO,NO,NO
2012,Texas Rangers,SEP,27,43796,Thursday,Oakland Athletics,86,Cloudy,Day,NO,NO,NO,NO
2012,Texas Rangers,SEP,28,46662,Friday,Los Angeles Angels,77,Cloudy,Night,NO,NO,YES,NO
2012,Texas Rangers,SEP,30,46713,Sunday,Los Angeles Angels,66,Cloudy,Day,NO,NO,NO,NO
2012,Texas Rangers,SEP,30,48089,Sunday,Los Angeles Angels,71,Cloudy,Night,NO,NO,NO,NO
