Team,Team_Abbr,Oddshark_Wins,BetOnline_Wins,CGTech_Wins,BP_Wins,Fangraphs_Wins,Average,RegGames,WinnPerc,luckSD,Mlb2017SD,TalentVar,RegrGames,PriorAlpha,PriorBeta,Beta_Estimate,80CI_Low,80CI_High,90CI_Low,90CI_High,95CI_Low,95CI_High,99CI_Low,99CI_High,Beta_Wins,80CI_Low_Wins,80CI_High_Wins,90CI_Low_Wins,90CI_High_Wins,95CI_Low_Wins,95CI_High_Wins,99CI_Low_Wins,99CI_High_Wins
Houston Astros,HOU,96.5,96.5,96.5,99,100.2,97.7,162,0.60308642,0.038439722736020365,0.07009089336949081,0.0034351210493112102,69.68406253386071,42.02551180460219,27.658550729258526,0.6031017447981569,0.5275631624393297,0.677557684057766,0.5057743606294227,0.6973194950748315,0.4870993394389313,0.7133688161896566,0.45053150203685,0.7453591860968032,97.7,85.5,109.8,81.9,113.0,78.9,115.6,73.0,120.7
Kansas City Royals,KCR,71.5,71.5,76.5,65,70.9,71.1,162,0.438888889,0.03898919066033319,0.07009089336949081,0.0033925763449855185,72.58950339506563,31.858726498122085,40.73077689694355,0.438730589404722,0.3644871158772556,0.5132848450485565,0.3441139622458571,0.534696296243926,0.32691461031411134,0.5529581257352881,0.29380346027701704,0.5893712598880867,71.1,59.0,83.2,55.7,86.6,53.0,89.6,47.6,95.5
Los Angeles Angels,LAA,84.5,84.5,84.5,80,82.5,83.2,162,0.513580247,0.0392692177448534,0.07009089336949081,0.003370661871040622,74.11469511010121,38.06384342097547,36.050851689125736,0.5136249663931235,0.4393966860054673,0.5870783988457899,0.4187191613976287,0.6077004040196898,0.400919864164966,0.625497172362744,0.3652651984436085,0.6597097257527555,83.2,71.2,95.1,67.8,98.4,64.9,101.3,59.2,106.9
Los Angeles Dodgers,LAD,96.5,96.5,95.5,97,94.6,96.0,162,0.592592593,0.03860424493078644,0.07009089336949081,0.0034224456066571807,70.54213257675289,41.802745259407764,28.739387317345123,0.5927050044241954,0.517002844407003,0.6673411237837623,0.49541552326533184,0.6873470494026035,0.47638169629994526,0.7040402154375485,0.4394881614741795,0.7357028067199936,96.0,83.8,108.1,80.3,111.4,77.2,114.1,71.2,119.2
Miami Marlins,MIA,64.5,64.5,64.5,65,64.2,64.5,162,0.398148148,0.03846003218383075,0.07009089336949081,0.003433559257752034,69.78944653515443,27.78653888791675,42.00290764723768,0.3979997793276278,0.32371289264653824,0.47370845365527314,0.30393895934724013,0.4955198113367686,0.2870360871150929,0.5151818819146368,0.2551920850785064,0.5528848161402021,64.5,52.4,76.7,49.2,80.3,46.5,83.5,41.3,89.6
Milwaukee Brewers,MIL,84.5,84.5,81.5,84,79.9,82.9,162,0.511728395,0.03927290121783973,0.07009089336949081,0.003370372563267134,74.13496284473521,37.936965549920984,36.19799729481423,0.5114965081327241,0.43741684689963556,0.5855936601573324,0.41658390387478406,0.6061890169153261,0.3980707363423206,0.6236900644533622,0.36376707200548714,0.6567659158440495,82.9,70.9,94.9,67.5,98.2,64.5,101.0,58.9,106.4
Minnesota Twins,MIN,82.5,82.5,82.5,82,82.9,82.5,162,0.509259259,0.03927697359877455,0.07009089336949081,0.0033700526782544983,74.15737674825094,37.7653307321981,36.39204601605284,0.509210447870766,0.4347126232431949,0.5830566470366653,0.41416278680511276,0.6038569313733047,0.39644487908321924,0.6213928927562555,0.3621486509887555,0.6557475674416464,82.5,70.4,94.5,67.1,97.8,64.2,100.7,58.7,106.2
New York Mets,NYM,81.0,81.0,80.5,81,83.9,81.5,162,0.50308642,0.03928296162645553,0.07009089336949081,0.003369582259187753,74.19034609703948,37.32415561652057,36.86619048051891,0.5030575984349116,0.4289523342237295,0.5770687340625655,0.4078925979934001,0.59786885102043,0.39019211960900524,0.6149124932914518,0.3579558055901925,0.6484957565998902,81.5,69.5,93.5,66.1,96.9,63.2,99.6,58.0,105.1
New York Yankees,NYY,94.5,94.5,93.5,97,94.4,94.8,162,0.585185185,0.03870938606442455,0.07009089336949081,0.003414316763848666,71.09577143712112,41.60419216114944,29.491579275971677,0.585144972796891,0.5101954731930466,0.659132920611658,0.48774594669992877,0.6789992974088402,0.46894794528265665,0.6960422756681612,0.43243039417651996,0.7288751180963612,94.8,82.7,106.8,79.0,110.0,76.0,112.8,70.1,118.1
Oakland Athletics,OAK,74.5,74.5,74.5,76,77.9,75.5,162,0.466049383,0.03919304514435126,0.07009089336949081,0.0033766385456461753,73.6967703949782,34.346334371672256,39.350436023305946,0.46562871580002696,0.39139154361221745,0.5403711640735576,0.3714771871983563,0.5614992142726315,0.3533392999199617,0.5796564317023257,0.3203829128174482,0.6147178781608141,75.4,63.4,87.5,60.2,91.0,57.2,93.9,51.9,99.6
Philadelphia Phillies,PHI,75.5,75.5,74.5,78,76.6,76.0,162,0.46913580200000005,0.03920879541049532,0.07009089336949081,0.003375403695791252,73.78299715448875,34.6142455440348,39.16875161045395,0.4690402264855858,0.39474206191259276,0.543581659756607,0.3752322315792786,0.5647197000705232,0.35787124887534694,0.5830876719058894,0.32339013902972746,0.6185041081620698,76.0,63.9,88.1,60.8,91.5,58.0,94.5,52.4,100.2
Pittsburgh Pirates,PIT,73.0,73.0,76.5,78,76.3,75.4,162,0.465432099,0.03918971427638293,0.07009089336949081,0.003376899628268799,73.67854766474257,34.29236109087268,39.386186573869885,0.46527221829307297,0.39109968690262553,0.5397841188881317,0.3708736787064465,0.5608569913292872,0.35291107816205014,0.5790283840184067,0.31901577247019114,0.6134141912722317,75.4,63.4,87.4,60.1,90.9,57.2,93.8,51.7,99.4
San Diego Padres,SDP,69.5,69.5,69.5,73,71.9,70.7,162,0.43641975299999997,0.03896481098387055,0.07009089336949081,0.0033944768383245725,72.45816186296837,31.622173103070672,40.83598875989769,0.43659253820060306,0.3623351843887954,0.5114187571891363,0.3424328043623658,0.5327885737139663,0.3250543906449849,0.5505676339254475,0.2915669176118535,0.5854931386384209,70.7,58.7,82.8,55.5,86.3,52.7,89.2,47.2,94.8
Seattle Mariners,SEA,81.5,81.5,81.5,82,77.8,80.9,162,0.499382716,0.03928368012861454,0.07009089336949081,0.0033695258088860267,74.19430303847824,37.05135256308232,37.14295047539593,0.49947381512215483,0.425376336417224,0.5743537234193721,0.4044349755151076,0.5948980513547244,0.3859382037646679,0.6127898435853312,0.3525388846714493,0.6467514950598104,80.9,68.9,93.0,65.5,96.4,62.5,99.3,57.1,104.8
San Francisco Giants,SFG,81.5,81.5,81.5,83,80.5,81.6,162,0.503703704,0.03928263230857397,0.07009089336949081,0.003369608132242712,74.1885325431883,37.36903863632848,36.81949390685982,0.5037315191947863,0.4290551908610163,0.5779843331697729,0.408612566211567,0.5987166278834674,0.39125148766905177,0.6166280999146234,0.35653257126747917,0.6493459649427438,81.6,69.5,93.6,66.2,97.0,63.4,99.9,57.8,105.2
St. Louis Cardinals,STL,85.5,85.5,84.5,85,86.8,85.5,162,0.5277777779999999,0.03922304020624716,0.07009089336949081,0.0033742864503124503,73.86106624892643,38.98222942556918,34.878836823357254,0.5277872463145709,0.45360024307428987,0.6018645738576145,0.432428557538536,0.6222909941529169,0.4143262166387966,0.6397253880468451,0.38012121319295145,0.6731165223663573,85.5,73.5,97.5,70.1,100.8,67.1,103.6,61.6,109.0
Tampa Bay Rays,TBR,77.5,77.5,76.5,83,75.6,78.0,162,0.481481481,0.039256757258554584,0.07009089336949081,0.003371640342876253,74.04617309836527,35.65186108578327,38.394312012582006,0.48179541438566675,0.40783281743136673,0.5559521454331671,0.38679398311415475,0.576960657901836,0.3692975181727705,0.5945914934270031,0.3366373368658127,0.6277487144611857,78.1,66.1,90.1,62.7,93.5,59.8,96.3,54.5,101.7
Texas Rangers,TEX,77.5,77.5,78.5,76,77.4,77.4,162,0.477777778,0.03924489216189361,0.07009089336949081,0.0033725717725346725,73.9809823711669,35.34646937155329,38.63451299961361,0.4775480209901369,0.403740724646624,0.5516285947566716,0.3831111371775615,0.5724076660598905,0.3647342863567856,0.5906434961651257,0.33119410660919724,0.625329456905912,77.4,65.4,89.4,62.1,92.7,59.1,95.7,53.7,101.3
Toronto Blue Jays,TOR,81.0,81.0,81.5,79,84.3,81.4,162,0.502469136,0.03928323106630519,0.07009089336949081,0.003369561090324606,74.19182993454213,37.27910468546832,36.91272524907381,0.5023240333794686,0.42806589877362333,0.5766761022177611,0.4072374989161794,0.5967459848993861,0.3896107100713894,0.6147487082334396,0.35472941235478345,0.648170344431239,81.4,69.3,93.4,66.0,96.7,63.1,99.6,57.5,105.0
Washington Nationals,WSN,92.5,92.5,91.5,88,92.1,91.3,162,0.563580247,0.03896481098387055,0.07009089336949081,0.0033944768383245725,72.45816186296837,40.83598875989769,31.622173103070676,0.5635768789336666,0.48858515929011487,0.6374037016422942,0.4674510118962932,0.6582718998067024,0.44923277700498443,0.6753705072805659,0.4141145185057078,0.7086134197817969,91.3,79.2,103.3,75.7,106.6,72.8,109.4,67.1,114.8
