Team_Abbr,xmlstatsTeamId,Wins_20190320,Losses_20190320,Wins_20190321,Losses_20190321,Wins_20190322,Losses_20190322,Wins_20190323,Losses_20190323,Wins_20190324,Losses_20190324,Wins_20190325,Losses_20190325,Wins_20190326,Losses_20190326,Wins_20190327,Losses_20190327,Wins_20190328,Losses_20190328,Wins_20190329,Losses_20190329,Wins_20190330,Losses_20190330,Wins_20190331,Losses_20190331,Wins_20190401,Losses_20190401,Wins_20190402,Losses_20190402,Wins_20190403,Losses_20190403,Wins_20190404,Losses_20190404,Wins_20190405,Losses_20190405,Wins_20190406,Losses_20190406,Wins_20190407,Losses_20190407,Wins_20190408,Losses_20190408,Wins_20190409,Losses_20190409,Wins_20190410,Losses_20190410,Wins_20190411,Losses_20190411,Wins_20190412,Losses_20190412,Wins_20190413,Losses_20190413,Wins_20190414,Losses_20190414,Wins_20190415,Losses_20190415,Wins_20190416,Losses_20190416,Wins_20190417,Losses_20190417,Wins_20190418,Losses_20190418,Wins_20190419,Losses_20190419,Wins_20190420,Losses_20190420,Wins_20190421,Losses_20190421,Wins_20190422,Losses_20190422,Wins_20190423,Losses_20190423,Wins_20190424,Losses_20190424,Wins_20190425,Losses_20190425,Wins_20190426,Losses_20190426,Wins_20190427,Losses_20190427,Wins_20190428,Losses_20190428,Wins_20190429,Losses_20190429,Wins_20190430,Losses_20190430,Wins_20190501,Losses_20190501,Wins_20190502,Losses_20190502,Wins_20190503,Losses_20190503,Wins_20190504,Losses_20190504,Wins_20190505,Losses_20190505,Wins_20190506,Losses_20190506,Wins_20190507,Losses_20190507,Wins_20190508,Losses_20190508,Wins_20190509,Losses_20190509,Wins_20190510,Losses_20190510,Wins_20190511,Losses_20190511,Wins_20190512,Losses_20190512,Wins_20190513,Losses_20190513,Wins_20190514,Losses_20190514,Wins_20190515,Losses_20190515,Wins_20190516,Losses_20190516,Wins_20190517,Losses_20190517,Wins_20190518,Losses_20190518,Wins_20190519,Losses_20190519,Wins_20190520,Losses_20190520,Wins_20190521,Losses_20190521,Wins_20190522,Losses_20190522,Wins_20190523,Losses_20190523,Wins_20190524,Losses_20190524,Wins_20190525,Losses_20190525,Wins_20190526,Losses_20190526,Wins_20190527,Losses_20190527,Wins_20190528,Losses_20190528,Wins_20190529,Losses_20190529,Wins_20190530,Losses_20190530,Wins_20190531,Losses_20190531,Wins_20190601,Losses_20190601,Wins_20190602,Losses_20190602,Wins_20190603,Losses_20190603,Wins_20190604,Losses_20190604,Wins_20190605,Losses_20190605,Wins_20190606,Losses_20190606,Wins_20190607,Losses_20190607,Wins_20190608,Losses_20190608,Wins_20190609,Losses_20190609,Wins_20190610,Losses_20190610,Wins_20190611,Losses_20190611,Wins_20190612,Losses_20190612,Wins_20190613,Losses_20190613,Wins_20190614,Losses_20190614,Wins_20190615,Losses_20190615,Wins_20190616,Losses_20190616,Wins_20190617,Losses_20190617,Wins_20190618,Losses_20190618,Wins_20190619,Losses_20190619,Wins_20190620,Losses_20190620,Wins_20190621,Losses_20190621,Wins_20190622,Losses_20190622,Wins_20190623,Losses_20190623,Wins_20190624,Losses_20190624,Wins_20190625,Losses_20190625,Wins_20190626,Losses_20190626,Wins_20190627,Losses_20190627,Wins_20190628,Losses_20190628,Wins_20190629,Losses_20190629,Wins_20190630,Losses_20190630,Wins_20190701,Losses_20190701,Wins_20190702,Losses_20190702,Wins_20190703,Losses_20190703,Wins_20190704,Losses_20190704,Wins_20190705,Losses_20190705,Wins_20190706,Losses_20190706,Wins_20190707,Losses_20190707,Wins_20190708,Losses_20190708,Wins_20190709,Losses_20190709,Wins_20190710,Losses_20190710,Wins_20190711,Losses_20190711,Wins_20190712,Losses_20190712,Wins_20190713,Losses_20190713,Wins_20190714,Losses_20190714,Wins_20190715,Losses_20190715,Wins_20190716,Losses_20190716,Wins_20190717,Losses_20190717,Wins_20190718,Losses_20190718,Wins_20190719,Losses_20190719,Wins_20190720,Losses_20190720,Wins_20190721,Losses_20190721,Wins_20190722,Losses_20190722,Wins_20190723,Losses_20190723,Wins_20190724,Losses_20190724,Wins_20190725,Losses_20190725,Wins_20190726,Losses_20190726,Wins_20190727,Losses_20190727,Wins_20190728,Losses_20190728
HOU,houston-astros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,1,3,2,3,2,4,2,5,2,5,3,5,4,5,5,5,6,5,7,5,8,5,8,5,9,5,10,5,11,5,11,5,12,5,12,6,12,6,13,6,13,7,13,8,13,9,14,9,15,9,15,10,15,11,16,11,17,11,17,12,18,12,18,13,18,14,18,14,19,14,20,14,21,14,21,15,22,15,23,15,24,15,25,15,26,15,27,15,28,15,29,15,29,15,30,15,31,15,31,16,32,16,33,16,33,17,33,18,34,18,35,18,35,19,36,19,37,19,37,20,37,20,38,20,39,20,40,20,41,20,42,20,42,21,43,21,44,21,44,22,45,22,45,22,46,22,46,23,46,23,47,23,48,23,48,24,48,25,48,26,48,27,48,28,48,29,48,30,49,30,49,30,50,30,50,31,50,32,51,32,52,32,53,32,53,32,54,32,55,32,55,32,55,33,56,33,57,33,57,33,57,33,57,33,57,34,57,35,58,35,59,35,59,36,59,37,60,37,61,37,62,37,63,37,64,37,65,37,65,38,66,38,66,38,66,39,67,39,68,39
KCR,kansas-city-royals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,1,2,1,2,2,2,3,2,4,2,4,2,5,2,6,2,7,2,8,2,9,2,10,3,10,4,10,5,10,5,11,5,12,6,12,7,12,7,13,7,14,7,15,7,16,7,17,8,17,8,17,8,18,9,18,9,19,9,20,9,20,11,20,11,21,11,22,12,22,12,23,12,24,13,24,13,25,13,25,14,25,14,26,14,27,14,27,15,27,15,28,15,29,15,30,15,31,16,31,16,31,16,31,17,32,17,32,17,32,17,34,18,34,18,35,18,36,18,37,19,37,19,38,19,39,19,40,19,40,19,41,19,42,19,43,20,43,20,44,20,45,20,45,21,45,21,46,22,46,22,47,22,48,23,48,24,48,25,48,25,49,26,49,26,50,26,51,27,51,27,52,28,52,28,53,28,53,28,54,28,55,29,55,29,56,29,57,29,58,29,59,30,59,30,60,30,61,30,61,30,61,30,61,30,61,31,61,32,61,32,62,33,62,34,62,35,62,36,62,36,63,37,63,37,64,37,64,38,64,39,64,39,65,39,66,39,67,40,67
LAA,los-angeles-angels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,3,1,4,1,5,1,5,1,6,2,6,3,6,4,6,5,6,6,6,7,6,7,6,7,7,8,7,8,7,8,8,8,9,8,10,8,11,8,12,8,13,9,13,9,14,9,15,9,16,10,16,11,16,11,17,12,17,12,17,13,17,14,17,15,17,15,17,15,18,15,19,15,19,16,19,16,20,17,20,18,20,19,20,19,21,20,21,20,22,20,23,20,23,21,23,22,23,22,24,22,25,22,26,22,26,22,27,22,28,23,28,24,28,24,29,25,29,26,29,27,29,27,30,28,30,29,30,29,31,29,32,30,32,30,33,30,34,31,34,31,35,32,35,33,35,33,35,34,35,34,36,35,36,35,37,36,37,37,37,38,37,38,38,38,39,38,40,39,40,39,40,40,40,41,40,42,40,42,41,42,42,42,43,42,43,43,43,44,43,44,44,45,44,45,45,45,46,45,46,45,46,45,46,45,46,46,46,47,46,48,46,49,46,50,46,50,47,50,48,50,49,51,49,52,49,52,49,53,49,54,49,54,50,54,51,54,52,55,52
LAD,los-angeles-dodgers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,3,1,3,2,4,2,5,2,5,2,6,2,7,2,8,2,8,3,8,4,8,5,8,6,8,7,8,8,9,8,10,8,11,8,12,8,13,8,14,8,14,9,15,9,15,9,15,10,15,11,16,11,17,11,18,11,19,11,19,12,20,12,20,13,20,13,21,13,22,13,22,14,23,14,24,14,25,14,25,15,26,15,26,16,27,16,27,16,28,16,29,16,29,16,30,16,30,17,31,17,31,17,32,17,32,18,32,18,33,18,34,18,35,18,36,18,36,19,37,19,38,19,39,19,40,19,41,19,42,19,43,19,43,20,43,20,43,21,44,21,45,21,45,22,45,23,45,23,46,23,47,23,47,24,48,24,48,25,49,25,50,25,51,25,52,25,53,25,54,25,54,26,55,26,55,27,56,27,56,28,56,29,57,29,57,29,58,29,59,29,60,29,60,30,60,31,60,32,60,32,60,32,60,32,60,32,60,33,61,33,62,33,63,33,63,34,64,34,64,35,65,35,66,35,67,35,67,35,67,36,67,37,67,37,68,37,69,37,69,38
MIA,miami-marlins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,2,2,2,3,2,4,2,5,2,5,2,6,3,6,3,7,3,7,3,8,3,9,3,10,3,11,4,11,4,12,4,13,4,14,4,15,4,15,5,15,6,15,6,16,6,16,7,16,7,17,8,17,8,18,8,19,8,20,8,20,8,21,9,21,9,21,9,22,9,23,9,24,10,24,10,25,10,26,10,27,10,28,10,29,10,29,10,29,10,30,10,31,10,31,11,31,12,31,13,31,13,31,14,31,15,31,16,31,16,32,16,33,16,34,17,34,18,34,19,34,19,35,19,36,20,36,21,36,21,36,22,36,23,36,23,37,23,38,23,39,23,40,23,41,23,42,24,42,24,42,24,43,25,43,25,44,25,45,26,45,26,46,27,46,28,46,29,46,30,46,30,46,30,47,30,48,30,49,31,49,32,49,32,50,32,50,32,51,32,52,32,53,32,54,33,54,33,55,33,55,33,55,33,55,33,55,34,55,34,56,34,57,34,57,35,57,35,58,36,58,36,59,36,60,36,61,36,62,37,62,38,62,38,62,39,62,39,63,40,63
MIL,milwaukee-brewers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,3,1,4,1,5,1,6,1,6,1,7,1,7,2,8,2,8,3,8,4,8,5,8,5,9,5,10,5,10,6,11,6,12,6,12,7,12,8,12,9,13,9,13,10,13,11,13,12,13,13,13,13,14,13,15,13,15,14,16,14,17,14,17,15,17,16,18,16,19,16,20,16,21,16,22,16,23,16,23,16,24,16,24,17,24,18,24,19,25,19,26,19,27,19,27,20,27,21,28,21,28,21,28,22,29,22,29,22,29,23,29,24,30,24,31,24,31,25,31,25,32,25,32,26,33,26,34,26,34,26,34,27,34,28,35,28,36,28,37,28,38,28,38,28,38,29,39,29,39,29,39,30,39,31,40,31,40,32,40,33,40,34,40,35,40,36,41,36,42,36,42,36,42,37,42,38,43,38,43,39,44,39,45,39,46,39,46,40,46,41,46,42,47,42,47,43,47,44,47,44,47,44,47,44,47,44,47,45,48,45,48,46,48,47,49,47,50,47,51,47,51,48,52,48,53,48,53,49,53,50,54,50,54,50,55,50,56,50,56,51
MIN,minnesota-twins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2,1,2,1,3,1,4,1,4,1,4,2,5,2,5,3,5,3,6,3,6,4,6,4,6,4,7,4,8,4,8,5,8,6,9,6,9,7,9,7,11,7,12,7,13,7,13,8,13,9,13,9,14,9,15,9,16,9,17,9,17,10,18,10,19,10,19,11,20,11,20,12,21,12,22,12,23,12,23,12,24,12,25,13,25,14,25,15,26,15,27,15,28,15,29,15,30,15,30,16,31,16,32,16,32,16,33,16,34,16,35,16,36,16,36,17,37,17,37,17,37,18,38,18,39,18,40,18,40,18,40,19,40,20,41,20,42,20,42,21,43,21,43,21,44,21,44,22,45,22,46,22,47,22,47,23,47,24,48,24,48,25,48,26,49,26,50,26,50,27,50,27,51,27,52,27,52,28,52,29,53,29,53,30,53,30,53,31,54,31,54,32,55,32,56,32,56,33,56,33,56,33,56,33,56,33,57,33,58,33,58,34,58,34,58,35,58,36,59,36,59,37,59,38,60,38,61,38,61,39,61,40,62,40,63,40,63,41,64,41
NYM,new-york-mets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,1,3,1,4,1,5,1,5,2,5,2,6,2,6,3,6,3,6,4,7,4,8,4,9,4,9,5,9,6,10,6,10,7,10,8,10,8,11,8,11,9,11,10,12,10,13,10,13,11,13,11,13,12,13,13,14,13,14,14,15,14,15,15,16,15,16,16,16,17,16,18,16,19,17,19,17,20,17,20,18,20,19,20,19,20,19,20,20,20,20,21,20,22,20,23,20,24,20,25,21,25,22,25,23,25,24,25,24,26,25,26,26,26,26,27,27,27,27,28,27,29,28,29,28,30,28,31,28,31,28,32,29,32,30,32,30,33,31,33,32,33,32,33,33,34,33,34,33,35,33,36,34,36,34,37,34,38,35,38,35,39,35,40,36,40,37,40,37,41,37,42,37,43,37,44,37,45,37,46,37,47,38,47,38,47,39,47,39,48,39,48,39,49,40,49,40,50,40,50,40,50,40,50,40,50,40,51,41,51,42,51,42,51,43,51,44,51,44,52,44,53,45,53,45,54,45,54,46,54,46,55,47,55,48,55,49,55,50,55
NYY,new-york-yankees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,2,2,2,2,3,2,4,3,4,3,4,4,4,5,4,5,5,5,6,5,7,5,7,5,8,6,8,6,9,6,9,7,9,8,9,8,10,9,10,10,10,11,10,12,10,13,10,14,10,14,11,15,11,16,11,17,11,17,11,17,12,17,13,17,13,18,13,18,14,19,14,20,14,21,14,21,15,22,15,23,15,23,16,24,16,24,16,24,16,26,16,26,16,27,16,27,17,28,17,29,17,30,17,31,17,32,17,32,17,34,17,34,18,35,18,35,19,36,19,36,19,37,19,38,19,38,20,38,20,38,21,38,22,39,22,39,23,39,24,40,24,40,24,41,25,41,25,41,26,41,27,42,27,43,27,44,27,45,27,46,27,47,27,48,27,49,27,49,28,50,28,51,28,52,28,52,28,52,28,53,28,54,28,54,28,54,29,55,29,56,29,57,29,57,30,57,31,57,31,57,31,57,31,57,31,58,31,58,32,59,32,59,33,60,33,60,33,62,33,63,33,64,33,64,34,64,35,65,35,66,35,66,36,66,37,66,38,67,38
OAK,oakland-athletics,0,1,0,2,0,2,0,2,0,2,0,2,0,2,0,2,1,2,1,3,2,3,3,3,4,3,5,3,5,4,6,4,6,5,6,6,6,7,6,8,7,8,8,8,9,8,10,8,10,8,10,9,10,9,10,10,11,10,11,10,11,11,11,12,11,13,12,13,13,13,14,13,14,13,14,14,14,15,14,16,14,17,14,18,14,19,14,19,15,19,15,20,15,21,15,21,16,21,17,21,17,22,18,22,19,22,19,23,19,24,19,25,19,25,20,25,21,25,22,25,22,25,23,25,24,25,25,25,25,25,26,25,27,25,28,25,29,25,29,26,29,27,29,27,29,28,29,29,29,30,29,30,30,30,30,31,31,31,32,31,32,33,33,33,33,34,34,34,35,34,35,34,35,35,36,35,36,36,37,36,38,36,39,36,40,36,40,37,41,37,41,38,41,38,42,38,43,38,43,39,44,39,45,39,46,39,46,39,47,39,47,40,48,40,49,40,49,41,50,41,50,41,50,41,50,41,50,41,51,41,52,41,53,41,53,41,54,41,55,41,55,42,56,42,57,42,57,43,57,44,58,44,58,45,58,46,58,47,59,47,60,47
PHI,philadelphia-phillies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,3,0,3,0,4,0,4,1,4,1,5,1,5,2,6,2,7,2,7,3,7,4,7,4,8,4,8,5,9,5,9,6,10,6,11,6,11,7,11,8,12,8,12,9,12,10,12,11,13,11,13,12,14,12,15,12,16,12,16,12,16,13,17,13,17,13,18,13,18,14,19,14,19,15,20,15,21,15,21,15,21,16,22,16,23,16,24,16,24,17,24,18,24,19,25,19,26,19,27,19,28,19,28,20,28,21,29,21,30,21,31,21,31,22,31,22,32,22,33,22,33,23,33,24,33,25,33,26,33,27,34,27,35,27,35,27,36,27,37,27,37,28,37,29,38,29,38,30,38,30,38,31,39,31,39,32,39,32,39,32,39,34,39,35,39,36,39,37,39,38,40,38,41,38,42,38,43,38,43,39,43,40,44,40,44,40,45,40,45,41,45,42,46,42,46,43,47,43,47,43,47,43,47,43,47,43,47,44,47,45,48,45,48,46,49,46,49,47,50,47,51,47,51,48,52,48,52,48,53,48,54,48,54,48,54,49,54,50,55,50
PIT,pittsburgh-pirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,2,1,2,1,3,2,3,3,3,4,3,5,3,5,4,5,4,6,4,6,5,7,5,7,6,8,6,8,6,9,6,10,6,10,6,11,6,12,6,12,7,12,8,12,9,12,10,12,11,12,12,12,13,12,14,12,14,13,14,14,14,14,14,14,15,15,15,16,15,16,15,17,15,17,16,17,17,18,17,19,17,20,17,20,18,21,18,21,19,21,20,22,20,23,20,24,20,24,20,24,21,24,22,25,22,25,23,25,24,25,25,26,26,26,27,27,27,27,28,28,28,28,29,28,30,28,30,28,31,29,31,30,31,30,32,30,33,30,34,30,35,30,36,30,37,30,38,31,38,31,39,32,39,32,39,32,40,33,40,33,40,34,40,35,40,36,40,36,40,36,41,37,41,38,41,39,41,39,42,39,43,40,43,41,43,42,43,42,44,42,45,43,45,44,45,44,45,44,45,44,45,44,45,44,46,44,47,44,48,44,49,45,49,45,50,45,50,45,51,46,51,46,52,46,53,46,54,46,55,46,56,46,57,46,58,46,59
SDP,san-diego-padres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,3,1,3,2,3,3,4,3,4,3,5,3,6,3,6,4,7,4,7,5,8,5,9,5,10,5,11,5,11,6,11,7,11,8,11,8,11,9,11,10,11,11,12,11,12,11,13,11,14,11,14,11,15,11,16,11,16,12,16,13,17,13,17,14,18,14,18,15,18,16,19,16,20,16,20,17,21,17,21,17,21,18,22,18,22,19,22,19,22,20,22,21,23,21,23,22,23,23,23,24,24,24,25,24,26,24,26,24,27,24,28,24,28,25,28,26,29,26,29,27,29,27,30,27,30,28,30,29,31,29,31,30,31,31,32,31,33,31,33,32,33,33,33,33,33,34,33,35,33,36,34,36,34,37,35,37,36,37,37,37,38,37,38,37,38,38,38,39,38,40,38,40,39,40,40,40,40,40,41,40,42,40,42,41,42,42,42,43,42,44,42,45,43,45,44,45,45,45,45,45,45,45,45,45,45,45,45,46,45,47,45,48,45,48,45,49,46,49,46,50,46,51,46,52,47,52,47,52,47,53,48,53,48,54,48,55,49,55,49,56
SFG,san-francisco-giants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,1,3,2,3,2,4,2,5,2,5,2,6,3,6,3,7,3,8,4,8,4,9,5,9,6,9,7,9,7,10,7,10,8,10,8,11,8,12,8,13,8,14,9,14,9,14,10,14,11,14,11,14,11,15,11,16,11,17,12,17,12,18,13,18,13,18,14,18,14,19,15,19,15,20,16,20,16,20,16,21,16,22,16,23,17,23,17,23,17,24,18,24,18,24,18,25,19,25,20,25,20,26,21,26,21,27,21,28,21,29,21,30,21,31,21,31,21,32,21,33,22,33,22,34,23,34,24,34,24,34,25,34,25,35,25,36,26,36,26,37,26,38,26,38,27,38,28,38,28,38,29,38,30,38,30,39,31,39,31,40,31,41,31,42,32,42,33,42,33,43,33,44,34,44,34,45,34,46,35,46,35,47,36,47,37,47,38,47,39,47,39,47,39,48,40,48,41,48,41,48,41,48,41,48,41,48,42,48,42,49,43,49,46,49,47,49,48,49,49,49,50,49,50,50,51,50,52,50,53,50,53,51,53,51,54,51,54,52,55,52
SEA,seattle-mariners,1,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,3,0,3,1,4,1,5,1,6,1,7,1,7,1,7,1,7,2,8,2,9,2,10,2,11,2,12,2,13,2,13,3,13,4,13,5,13,6,13,7,13,8,14,8,15,8,16,8,16,9,16,9,16,10,16,11,17,11,18,11,18,12,18,13,18,13,18,14,18,15,18,15,18,16,18,17,19,17,19,18,19,19,20,19,20,20,20,21,20,22,20,23,21,23,22,23,22,23,22,24,22,25,22,26,23,26,23,27,23,28,23,29,23,29,23,30,23,31,23,32,24,32,24,33,24,34,24,35,25,35,25,36,25,37,25,38,25,39,26,39,26,40,27,40,27,41,28,41,28,41,28,42,29,42,29,43,30,43,30,44,31,44,31,45,31,46,32,46,33,46,34,46,34,47,35,47,35,47,36,47,37,47,37,48,37,49,37,50,37,51,37,51,38,51,38,52,38,53,38,54,39,54,39,55,39,55,39,55,39,55,39,55,39,56,39,57,39,58,39,58,39,59,39,60,39,60,40,60,40,61,40,62,41,62,41,63,42,63,43,63,44,63,45,63,46,63
STL,st-louis-cardinals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,3,2,3,2,3,3,3,3,3,3,4,3,5,4,5,5,5,6,5,7,5,8,5,8,5,8,6,9,6,9,7,9,8,10,8,10,8,10,9,11,9,12,9,13,9,14,9,15,9,15,9,15,10,16,10,17,10,18,10,19,10,20,10,20,11,20,12,20,13,20,14,21,14,21,15,21,16,22,16,22,17,22,18,22,19,22,19,23,19,23,20,23,21,23,22,24,22,24,23,24,23,24,23,25,24,25,24,25,25,26,25,26,26,26,26,26,27,26,28,27,28,28,28,29,28,30,28,30,28,30,29,30,29,31,29,31,30,31,31,31,32,32,32,33,32,33,33,34,33,35,33,35,34,36,34,37,34,37,35,38,35,38,36,39,36,40,36,40,37,40,37,40,38,40,39,40,39,40,40,40,41,41,41,41,41,41,42,42,42,43,42,44,42,44,43,44,44,44,44,44,44,44,44,44,44,44,45,45,45,46,45,47,45,47,46,48,46,49,46,50,46,50,47,51,47,52,47,53,47,54,47,55,47,56,47,56,48,56,49
TBR,tampa-bay-rays,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,3,1,4,1,5,1,5,2,5,2,6,2,6,3,7,3,8,3,9,3,10,3,10,3,11,3,11,4,12,4,12,4,13,4,14,4,14,5,14,6,14,7,14,8,15,8,16,8,16,9,16,9,16,9,17,9,18,9,19,9,19,9,19,11,20,11,21,11,21,12,21,12,22,12,23,12,23,13,23,13,23,14,24,14,24,15,24,15,25,15,26,15,26,15,26,16,27,16,27,17,27,17,27,18,28,18,29,18,29,19,30,19,31,19,32,19,33,19,34,19,35,19,35,20,35,21,35,22,35,22,35,23,36,23,37,23,38,23,39,24,40,24,41,24,41,25,41,26,41,27,42,27,42,28,43,28,43,29,43,30,43,31,43,32,44,32,44,33,45,33,45,33,45,34,45,35,46,35,46,36,47,36,48,36,49,36,50,36,50,37,50,38,50,39,51,39,52,39,52,39,52,39,52,39,52,39,53,39,54,40,55,40,56,40,56,41,56,41,56,43,56,44,56,45,57,45,57,46,57,47,58,47,58,47,59,47,59,48,60,48
TEX,texas-rangers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,1,2,2,3,2,4,2,5,2,5,3,5,4,5,5,5,5,5,6,6,6,6,6,6,7,6,7,7,7,8,7,9,7,10,7,10,7,10,8,11,8,12,8,12,9,12,10,12,11,12,12,12,13,13,13,14,13,14,13,14,14,14,15,14,15,14,16,15,16,16,16,16,16,16,17,17,17,17,18,17,19,17,20,17,21,17,21,17,22,18,22,19,22,20,22,20,23,21,23,22,23,23,23,24,23,24,23,25,23,25,24,25,25,25,26,26,26,27,26,27,27,28,27,29,27,30,27,30,27,30,28,31,28,32,28,32,29,34,29,34,30,35,30,36,30,36,31,36,32,37,32,38,32,38,33,39,33,39,34,39,35,40,35,40,36,41,36,42,36,42,36,43,36,44,36,45,36,46,36,46,37,46,38,46,38,46,39,46,40,47,40,47,41,47,42,48,42,48,42,48,42,48,42,49,42,50,42,50,43,50,44,50,44,50,45,50,46,50,46,50,47,50,48,50,49,50,50,51,50,51,51,52,51,53,51,53,52,53,53
TOR,toronto-blue-jays,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,2,2,2,3,2,4,3,4,3,5,3,6,3,7,3,8,3,8,4,8,4,8,4,9,4,10,5,10,5,11,6,11,7,11,7,12,8,12,9,12,10,12,11,12,11,12,11,13,11,14,11,14,12,14,13,14,14,14,14,14,14,15,14,16,14,17,15,17,15,18,15,19,15,20,15,21,15,22,15,22,16,22,16,23,16,24,16,24,17,24,17,25,17,26,18,26,18,27,19,27,19,28,20,28,20,29,20,30,20,31,20,32,21,32,21,33,21,34,21,35,21,35,21,36,21,37,21,38,21,38,22,38,23,38,23,39,23,40,23,41,23,42,23,42,23,43,24,43,25,43,25,44,25,45,26,45,26,46,26,47,26,48,27,48,27,49,28,49,29,49,29,50,29,51,29,52,29,52,30,52,31,52,31,53,32,53,32,54,33,54,33,55,33,56,33,57,34,57,34,57,34,57,34,57,34,57,34,58,35,58,35,59,35,60,36,60,36,61,36,62,37,62,38,62,38,63,38,64,39,64,39,65,39,65,39,66,40,66,40,67
WSN,washington-nationals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,2,1,2,1,3,2,3,3,3,3,3,3,4,4,4,4,5,5,5,6,5,6,5,6,6,7,6,7,7,7,7,7,8,8,8,9,8,9,9,9,10,10,10,10,11,11,11,11,12,11,12,11,13,11,14,12,14,12,15,12,16,12,17,13,17,13,18,14,18,14,19,14,20,14,21,14,22,15,22,15,23,16,23,16,24,16,24,16,25,17,25,18,25,18,26,19,26,19,27,19,28,19,29,19,30,19,31,20,31,21,31,22,31,22,32,23,32,24,32,24,32,24,33,25,33,26,33,26,33,27,33,28,33,28,34,28,35,29,35,30,35,31,35,31,36,31,36,31,37,32,37,32,38,33,38,33,38,33,38,35,38,36,38,37,38,37,39,37,40,37,40,38,40,39,40,40,40,41,40,41,41,42,41,42,41,43,41,44,41,45,41,45,42,46,42,47,42,47,42,47,42,47,42,47,42,48,42,49,42,49,43,49,43,50,43,50,44,51,44,51,45,52,45,52,46,52,46,53,46,55,46,55,47,55,48,55,49,56,49
