Team,Team_Abbr,538Elo_Wins,Fangraphs_Wins,RotoChamp_Wins,CBS_Wins,Vegas_Wins,USAToday_Wins,OddsShark_Wins,TeamRankings_Wins,Average,RegGames,WinnPerc,luckSD,Mlb2018SD,TalentVar,RegrGames,PriorAlpha,PriorBeta,Beta_Estimate,80CI_Low,80CI_High,90CI_Low,90CI_High,95CI_Low,95CI_High,99CI_Low,99CI_High,Beta_Wins,80CI_Low_Wins,80CI_High_Wins,90CI_Low_Wins,90CI_High_Wins,95CI_Low_Wins,95CI_High_Wins,99CI_Low_Wins,99CI_High_Wins
Houston Astros,HOU,98,97.6,98,101,96.0,98,96.5,96.8,97.7375,162,0.603317901,0.038435886277112495,0.0888489104541462,0.006416811534981765,37.29662465981,22.50172130414141,14.79490335566859,0.6033256612788862,0.4999842487159035,0.7040361554076459,0.47043613391664874,0.7299804149446555,0.4446346705231854,0.7520299190167677,0.3970195489723099,0.7921826258385822,97.7,81.0,114.1,76.2,118.3,72.0,121.8,64.3,128.3
Kansas City Royals,KCR,70,71.2,70,74,69.0,64,69.5,69.5,69.65,162,0.429938272,0.03889613855200955,0.0888489104541462,0.006381219294631766,38.40823249497763,16.513169109464933,21.8950633855127,0.4298361502114446,0.32868391235656413,0.5320439398999439,0.301915814208816,0.5616042230647539,0.2798999277075991,0.5860074395463284,0.2368686573633356,0.6366677764452803,69.6,53.2,86.2,48.9,91.0,45.3,94.9,38.4,103.1
Los Angeles Angels,LAA,80,82.3,82,83,82.5,82,82.5,82.2,82.0625,162,0.506558642,0.03928033028128567,0.0888489104541462,0.006351184541882002,39.35596305961656,19.936103202081533,19.41985985753503,0.506520651197563,0.4046538087288828,0.6075241319103823,0.376193786826425,0.6350699313469507,0.353379322932027,0.6586655573034801,0.30701018751980236,0.7045495614729095,82.1,65.6,98.4,60.9,102.9,57.2,106.7,49.7,114.1
Los Angeles Dodgers,LAD,95,92.6,93,100,92.5,94,93.5,92.9,94.1875,162,0.5814043210000001,0.038759573610081983,0.0888489104541462,0.006391824342453526,38.07572353108646,22.137390186175047,15.938333344911412,0.5813450718581777,0.47779907451427367,0.6826606649741171,0.4488431837600645,0.7090493925976027,0.42379071057312834,0.7309284002315182,0.3755609653242038,0.770675572721977,94.2,77.4,110.6,72.7,114.9,68.7,118.4,60.8,124.8
Miami Marlins,MIA,64,62.1,65,63,63.0,62,63.5,63.5,63.2625,162,0.390509259,0.03833025572470689,0.0888489104541462,0.006424920384967465,37.04509369363589,14.466452087887324,22.578641605748565,0.39042794270556536,0.289204849547384,0.49387989348684397,0.2635278309787657,0.5243518998311384,0.24194563567871274,0.5505385339607226,0.20170644819650724,0.6013931112082691,63.2,46.9,80.0,42.7,84.9,39.2,89.2,32.7,97.4
Milwaukee Brewers,MIL,86,80.7,84,88,86.5,89,86.5,86.9,85.95,162,0.530555556,0.03921028760804677,0.0888489104541462,0.0063566822345831435,39.18181667828234,20.78813053283616,18.39368614544618,0.5307203378232914,0.42835202842559916,0.6323970169080105,0.3999325311879218,0.6594323476888296,0.37470517925261043,0.6824121900827754,0.32866715847923766,0.7237787798955543,86.0,69.4,102.4,64.8,106.8,60.7,110.6,53.2,117.3
Minnesota Twins,MIN,84,85.1,84,82,84.0,83,84.5,83.8,83.8,162,0.517283951,0.03926023221488698,0.0888489104541462,0.00635276305532204,39.30593079945613,20.332327181675254,18.973603617780874,0.5171107170939578,0.4155729651781875,0.618462870421246,0.38720211168223156,0.6463575643396846,0.3632344564073831,0.6687137422842657,0.31707425745722945,0.712294698779205,83.8,67.3,100.2,62.7,104.7,58.8,108.3,51.4,115.4
New York Mets,NYM,85,83.7,86,82,85.0,83,85.5,85.1,84.4125,162,0.521064815,0.03924883214186248,0.0888489104541462,0.006353658064388793,39.27757380708565,20.466161729437932,18.81141207764772,0.5210453768305222,0.4192982547039473,0.6220402795231584,0.390502859138865,0.649872904144148,0.36708673327245994,0.6728623119937336,0.3233894450238571,0.7148901207056716,84.4,67.9,100.8,63.3,105.3,59.5,109.0,52.4,115.8
New York Yankees,NYY,97,98.7,97,103,97.0,98,96.5,97.3,98.0625,162,0.605324074,0.03840226004762864,0.0888489104541462,0.006419395312123195,37.21640868336317,22.527988123862368,14.6884205595008,0.6054021318401985,0.5022221194478733,0.7060589767978883,0.47184748914507146,0.7320411411050235,0.4461400311673065,0.7534765851230877,0.3943143067417984,0.7948342616520035,98.1,81.4,114.4,76.4,118.6,72.3,122.1,63.9,128.8
Oakland Athletics,OAK,83,82.9,82,88,84.0,86,83.5,82.5,83.9875,162,0.518441358,0.03925698147511793,0.0888489104541462,0.006353018294351137,39.29784312711707,20.37362715729354,18.92421596982353,0.5184600923976953,0.4165422208652257,0.6205137753755138,0.38855564402914616,0.6481374127512814,0.3632313590985727,0.6716973215972585,0.31988786296124827,0.716076596963717,84.0,67.5,100.5,62.9,105.0,58.8,108.8,51.8,116.0
Philadelphia Phillies,PHI,84,85.1,86,85,89.0,88,89.5,89.3,86.9875,162,0.536959877,0.039176237403712025,0.0888489104541462,0.006359351311776885,39.09737885241527,20.993723739615305,18.103655112799963,0.5369305731731387,0.4344681654067062,0.6382577553324711,0.4064844288816128,0.6657435886831466,0.38307247509428083,0.6884515527856223,0.33585773870634134,0.732832971628981,87.0,70.4,103.4,65.9,107.9,62.1,111.5,54.4,118.7
Pittsburgh Pirates,PIT,79,77.3,78,79,77.5,76,77.5,77.7,77.75,162,0.47993827200000005,0.0392520760691534,0.0888489104541462,0.0063534034131502845,39.2856412286109,18.854682765671473,20.430958462939426,0.4796880741385986,0.37830096535176877,0.5818863078036984,0.35104652338595593,0.6101602981020345,0.32677634433511477,0.6344438124374249,0.28283078491434716,0.6795954469128603,77.7,61.3,94.3,56.9,98.8,52.9,102.8,45.8,110.1
San Diego Padres,SDP,75,77.8,77,69,77.5,74,78.5,77.7,75.8125,162,0.467978395,0.03920306557782074,0.0888489104541462,0.006357248538189976,39.16389540499411,18.327856913577016,20.83603849141709,0.4682366155398295,0.36650281288151615,0.5705619497138019,0.33942396060162816,0.5991019257790259,0.31551496907211285,0.6227986028281312,0.27149197705671985,0.6708967454682763,75.9,59.4,92.4,55.0,97.1,51.1,100.9,44.0,108.7
Seattle Mariners,SEA,79,75.8,77,75,72.0,75,73.5,71.9,74.9,162,0.462345679,0.039172155022084924,0.0888489104541462,0.006359671159814636,39.0872650272808,18.071828089291095,21.015436937989705,0.4619433998215493,0.3604794318859831,0.5643026719067167,0.3332398714766163,0.5927210710877231,0.30966032689629375,0.6170066242565236,0.26607008476027044,0.6622622483222448,74.8,58.4,91.4,54.0,96.0,50.2,100.0,43.1,107.3
San Francisco Giants,SFG,71,73.5,71,71,74.5,69,71.5,73.0,71.8125,162,0.44328703700000005,0.03903019089635522,0.0888489104541462,0.00637077308748296,38.7368434629435,17.171540561421043,21.565302901522454,0.44348282348391976,0.3418664828553579,0.5462952411071217,0.3154718790743824,0.5758067476481769,0.29313801540015155,0.5997829474907943,0.25186589331332476,0.6459823616014274,71.8,55.4,88.5,51.1,93.3,47.5,97.2,40.8,104.6
St. Louis Cardinals,STL,85,84.5,85,87,88.0,89,88.5,87.6,86.825,162,0.53595679,0.039181999304046755,0.0888489104541462,0.0063588998194265695,39.11165709720581,20.96215818939914,18.149498907806667,0.5364746353455502,0.43445094336634316,0.637605351308011,0.40553153100301326,0.664712072960479,0.3815562423548022,0.6874097608882115,0.3353939854155753,0.7302839019690541,86.9,70.4,103.3,65.7,107.7,61.8,111.4,54.3,118.3
Tampa Bay Rays,TBR,86,84.3,86,89,84.5,86,84.5,84.3,85.575,162,0.5282407410000001,0.03922099939451772,0.0888489104541462,0.006355842095384131,39.2084096501944,20.71147936705024,18.496930283144156,0.5281707150547159,0.4261228282622374,0.6296599255218652,0.3976714394208805,0.6570649884547435,0.3732425740762155,0.6799634039747354,0.32809987453770734,0.7222525074848193,85.6,69.0,102.0,64.4,106.4,60.5,110.2,53.2,117.0
Texas Rangers,TEX,70,71.6,70,73,71.0,70,71.0,70.5,70.8875,162,0.43757716,0.03897636107319714,0.0888489104541462,0.006374972166380653,38.60462173375385,16.892500741130288,21.712120992623564,0.4374425646895842,0.33645439156125284,0.5398822659586676,0.30940398446060513,0.5688011387856773,0.2859730767972954,0.5947603313006355,0.243076423098932,0.6425672111644007,70.9,54.5,87.5,50.1,92.1,46.3,96.4,39.4,104.1
Toronto Blue Jays,TOR,75,76.3,76,69,74.0,74,74.5,74.2,74.125,162,0.45756172799999995,0.03914195383233544,0.0888489104541462,0.006362036339076211,39.01250792064689,17.850630537784877,21.161877382862013,0.45758956413785495,0.35607145076167396,0.5598905171940237,0.3294350947743937,0.5882577776730931,0.30533016559045695,0.6124473168748195,0.262828642656701,0.6583546563485344,74.1,57.7,90.7,53.4,95.3,49.5,99.2,42.6,106.7
Washington Nationals,WSN,89,90.3,89,93,89.0,89,88.5,88.7,89.5625,162,0.552854938,0.03906360400150656,0.0888489104541462,0.006368163731302371,38.819095418964565,21.461328591067737,17.35776682789683,0.5526994998503673,0.45060944146561216,0.6531207920944284,0.4213195124986401,0.6802019039494501,0.39657998488354795,0.7026275973678212,0.35016005384763615,0.7449177936628724,89.5,73.0,105.8,68.3,110.2,64.2,113.8,56.7,120.7
