Team,WinEstimate,WinsLow,WinsHigh,WinPercent,LowWinPercent,HighWinPercent,DivisionOdds20190710,WildCardOdds20190710,PlayoffOdds20190710,FG_Wins,FG_WinPerc,FG_DivisionOdds,FG_WCOdds,FG_PlayoffOdds,538_Wins,538_WinPerc,538_PlayoffOdds,538_DivisionOdds,BP_Wins,BP_WinPerc,BP_DivisionOdds,BP_WCOdds,BP_PlayoffOdds
ARI,81,75,87,0.495904943,0.410372128,0.582277232,0%,15.70%,15.70%,80,0.49382716,0.10%,17.00%,17.00%,83,0.512345679,35%,0%,83,0.512345679,0.10%,32.00%,32.10%
STL,82,75,88,0.510872239,0.424918116,0.59714515,16.50%,9%,25.50%,81,0.5,10.20%,10.80%,21.10%,81,0.5,22%,14%,82,0.50617284,24.40%,11.80%,36.20%
TEX,84,78,91,0.504362873,0.418383252,0.590552543,0%,3.70%,3.70%,81,0.5,0.00%,2.30%,2.30%,82,0.50617284,7%,0%,81,0.5,0.10%,3.60%,3.70%
LAA,80,74,86,0.498255658,0.413060307,0.583715718,0%,0.10%,0.10%,80,0.49382716,0.00%,1.30%,1.30%,80,0.49382716,3%,0%,80,0.49382716,0.10%,1.60%,1.70%
SDP,80,74,86,0.49006861,0.404177617,0.575952716,0%,11.10%,11.10%,80,0.49382716,0.00%,13.30%,13.30%,78,0.481481481,7%,0%,80,0.49382716,0.00%,13.50%,13.50%
COL,80,74,87,0.499989116,0.413951981,0.585469204,0%,11.20%,11.20%,79,0.487654321,0.00%,11.60%,11.60%,81,0.5,19%,0%,79,0.487654321,0.00%,9.20%,9.20%
PIT,80,73,86,0.489889898,0.403714669,0.575246943,3.40%,4.10%,7.40%,79,0.487654321,4.50%,5.80%,10.30%,80,0.49382716,19%,11%,79,0.487654321,6.60%,5.20%,11.80%
CIN,76,70,83,0.471976388,0.386236244,0.558540279,0.40%,0.50%,0.90%,78,0.481481481,4.40%,5.50%,9.90%,78,0.481481481,11%,6%,79,0.487654321,5.00%,5.20%,10.20%
NYM,74,68,80,0.467421959,0.382704918,0.553037997,0%,0%,0%,77,0.475308642,0.30%,4.60%,4.90%,77,0.475308642,5%,0%,78,0.481481481,0.90%,5.80%,6.70%
CHW,78,72,85,0.474784903,0.388332046,0.561685898,0%,0%,0%,74,0.456790123,0.00%,0.00%,0.10%,76,0.469135802,0%,0%,76,0.469135802,0.00%,0.20%,0.20%
SFG,74,68,81,0.455664747,0.370788054,0.54236909,0%,0.20%,0.20%,73,0.450617284,0.00%,0.80%,0.80%,72,0.444444444,0%,0%,73,0.450617284,0.00%,0.60%,0.60%
SEA,68,63,74,0.428771009,0.346251967,0.51318219,0%,0%,0%,70,0.432098765,0.00%,0.00%,0.00%,70,0.432098765,0%,0%,72,0.444444444,0.00%,0.00%,0.00%
TOR,62,56,68,0.398838015,0.316592691,0.484003642,0%,0%,0%,65,0.401234568,0.00%,0.00%,0.00%,64,0.395061728,0%,0%,65,0.401234568,0.00%,0.00%,0.00%
MIA,61,55,67,0.379652549,0.296932293,0.466206491,0%,0%,0%,62,0.382716049,0.00%,0.00%,0.00%,62,0.382716049,0%,0%,65,0.401234568,0.00%,0.00%,0.00%
KCR,56,50,61,0.359500704,0.278522185,0.44336649,0%,0%,0%,62,0.382716049,0.00%,0.00%,0.00%,60,0.37037037,0%,0%,63,0.388888889,0.00%,0.00%,0.00%
DET,55,49,62,0.355808236,0.274296288,0.44227041,0%,0%,0%,60,0.37037037,0.00%,0.00%,0.00%,58,0.358024691,0%,0%,61,0.37654321,0.00%,0.00%,0.00%
BAL,50,45,56,0.319745029,0.240916693,0.403942317,0%,0%,0%,55,0.339506173,0.00%,0.00%,0.00%,54,0.333333333,0%,0%,56,0.345679012,0.00%,0.00%,0.00%
